,ShanghaiSE_china,ftse mib_italy,aex_netherlands,atx_austria,asx200_australia,bfx_belgium,bsesn_india,bux_hungary,djia_united states,cac40_france,ftse100_united kingdom,dax30_germany,s&p500_united states,S&P/TSX_canada,hang seng_hong kong,ibex 35_spain,iseq_ireland,kospi_south korea,nikkei225_japan,omx_sweden,^SSMI_switzerland,russia-moex,poland-wig20,denmark-omxc20,finland-omx helsinki 25,CHFAUD=X,CHFCAD=X,CHFCNY=X,CHFCZK=X,CHFDKK=X,CHFEUR=X,CHFHKD=X,CHFHUF=X,CHFINR=X,CHFKRW=X,CHFNOK=X,CHFPLN=X,CHFSEK=X,CHFUSD=X,JPYCHF=X,NOKCHF=X
2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.076300024986267,1.013800024986267,6.486299991607666,17.71299934387207,4.99429988861084,0.6734899878501892,7.4980998039245605,180.49000549316406,45.209999084472656,1110.699951171875,5.556000232696533,2.7539000511169434,6.86460018157959,0.9672114849090576,,
2010-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04,3243.760009765625,23545.0,343.0299987792969,2537.0,4876.2998046875,2563.969970703125,17558.73046875,21561.76953125,10583.9599609375,4013.969970703125,5500.2998046875,6048.2998046875,1132.989990234375,11866.900390625,21823.279296875,12145.099609375,3097.760009765625,1696.1400146484375,10654.7900390625,963.5599975585938,6631.43994140625,,2444.58,347.85,2078.69,1.0644999742507935,1.0113999843597412,6.485000133514404,17.613000869750977,5.00029993057251,0.6735799908638,7.534999847412109,180.7100067138672,44.90800094604492,1100.4000244140625,5.543399810791016,2.747499942779541,6.844799995422363,0.9717229008674622,1.1115000247955322,18.006000518798828
2010-01-05,3282.178955078125,23556.0,342.0199890136719,2593.64990234375,4924.2998046875,2587.77001953125,17686.240234375,22043.619140625,10572.01953125,4012.909912109375,5522.5,6031.85986328125,1136.52001953125,11888.099609375,22279.580078125,12204.400390625,3071.52001953125,1690.6199951171875,10681.830078125,967.27001953125,6579.259765625,,2462.3,345.14,2084.56,1.0604000091552734,1.0056999921798706,6.604599952697754,17.64900016784668,5.01039981842041,0.6734300255775452,7.501399993896484,181.3000030517578,44.60900115966797,1103.9000244140625,5.528900146484375,2.75600004196167,6.868500232696533,0.9673987030982971,1.1276999711990356,18.045000076293945
2010-01-06,3254.215087890625,23622.0,341.4800109863281,,4921.39990234375,2596.429931640625,17701.130859375,22164.720703125,10573.6796875,4017.669921875,5530.0,6034.330078125,1137.1400146484375,11944.5,22416.669921875,12222.5,3087.929931640625,1705.3199462890625,10731.4501953125,,6559.41015625,,2472.83,346.37,,1.0568000078201294,1.0038000345230103,6.632400035858154,17.726999282836914,5.024899959564209,0.6754900217056274,7.5432000160217285,181.17999267578125,44.4640007019043,1099.800048828125,5.5121002197265625,2.7600998878479004,6.879799842834473,0.9731412529945374,1.1117000579833984,18.097000122070312
2010-01-07,3192.77587890625,23709.0,340.54998779296875,2590.6201171875,4899.39990234375,2590.679931640625,17615.720703125,21961.1796875,10606.8603515625,4024.800048828125,5526.7001953125,6019.35986328125,1141.68994140625,11887.5,22269.44921875,12166.2998046875,3070.469970703125,1683.449951171875,10681.66015625,965.8200073242188,6555.35986328125,,2436.4,351.28,2097.53,1.0532000064849854,1.0003000497817993,6.5920000076293945,17.750999450683594,5.014800071716309,0.6755800247192383,7.501699924468994,181.85000610351562,44.138999938964844,1097.800048828125,5.514800071716309,2.773400068283081,6.883500099182129,0.9674922823905945,1.1057000160217285,18.072999954223633
2010-01-08,3195.9970703125,23811.0,341.94000244140625,2588.489990234375,4912.10009765625,2591.639892578125,17540.2890625,22197.109375,10618.1904296875,4045.139892578125,5534.2001953125,6037.60986328125,1144.97998046875,11953.7998046875,22296.75,12163.0,3080.75,1695.260009765625,10798.3203125,973.4400024414062,6617.8798828125,,2440.42,353.23,2108.11,1.0556999444961548,1.0052000284194946,6.6265997886657715,17.784000396728516,5.0406999588012695,0.6775100231170654,7.574900150299072,181.30999755859375,44.23099899291992,1096.699951171875,5.536499977111816,2.751800060272217,6.89709997177124,0.9769441485404968,1.1038000583648682,17.95199966430664
2010-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
